epoch: 33, lr: 7.09e-01 - train loss: 1.05e-01 - valid loss: 2.24e-01, valid summary: {'TP': 613943.0, 'TN': 281250.0, 'FP': 42671.0, 'FN': 28136.0, 'FAR': 0.13173273730322727, 'FRR': 0.04382015297182989, 'DER': 0.0790969098283825, 'threshold': 0.5, 'precision': 0.9350135696162291, 'recall': 0.9561798470281545, 'F-score': 0.9454782616060916, 'MCC': 0.8342019239536675}
epoch: 34, lr: 7.00e-01 - train loss: 1.03e-01 - valid loss: 2.26e-01, valid summary: {'TP': 621932.0, 'TN': 271421.0, 'FP': 52500.0, 'FN': 20147.0, 'FAR': 0.1620765557033918, 'FRR': 0.03137775881160992, 'DER': 0.08131947841446684, 'threshold': 0.5, 'precision': 0.9221567185424042, 'recall': 0.9686222411883745, 'F-score': 0.9448185393057863, 'MCC': 0.8294758469523}
epoch: 35, lr: 6.91e-01 - train loss: 1.04e-01 - valid loss: 2.28e-01, valid summary: {'TP': 623025.0, 'TN': 271308.0, 'FP': 52613.0, 'FN': 19054.0, 'FAR': 0.1624254061947153, 'FRR': 0.029675476070701118, 'DER': 0.08013458074341347, 'threshold': 0.5, 'precision': 0.9221284178805673, 'recall': 0.9703245239292833, 'F-score': 0.9456127529659252, 'MCC': 0.8318480362530918}
epoch: 36, lr: 6.82e-01 - train loss: 1.03e-01 - valid loss: 2.21e-01, valid summary: {'TP': 613961.0, 'TN': 282995.0, 'FP': 40926.0, 'FN': 28118.0, 'FAR': 0.12634562130889548, 'FRR': 0.0437921190383108, 'DER': 0.07697590517260515, 'threshold': 0.5, 'precision': 0.9375067759781315, 'recall': 0.9562078809616736, 'F-score': 0.9467649884422568, 'MCC': 0.8384507073484161}
epoch: 37, lr: 6.73e-01 - train loss: 1.02e-01 - valid loss: 2.22e-01, valid summary: {'TP': 613148.0, 'TN': 282623.0, 'FP': 41298.0, 'FN': 28931.0, 'FAR': 0.12749404947502238, 'FRR': 0.045058318368922746, 'DER': 0.0784006180150945, 'threshold': 0.5, 'precision': 0.9368962450683336, 'recall': 0.9549416816310616, 'F-score': 0.9458328994813058, 'MCC': 0.8357006274022614}
epoch: 38, lr: 6.64e-01 - train loss: 1.00e-01 - valid loss: 2.20e-01, valid summary: {'TP': 616350.0, 'TN': 280554.0, 'FP': 43367.0, 'FN': 25729.0, 'FAR': 0.1338814093559808, 'FRR': 0.040071393084027976, 'DER': 0.07703834524096138, 'threshold': 0.5, 'precision': 0.9342642375442661, 'recall': 0.9599286069159564, 'F-score': 0.9469225592950048, 'MCC': 0.8380662734444854}
epoch: 39, lr: 6.55e-01 - train loss: 1.01e-01 - valid loss: 2.25e-01, valid summary: {'TP': 618304.0, 'TN': 277925.0, 'FP': 45996.0, 'FN': 23775.0, 'FAR': 0.14199758583110875, 'FRR': 0.03702815385645634, 'DER': 0.07784952283400695, 'threshold': 0.5, 'precision': 0.9307601987053902, 'recall': 0.962971846143528, 'F-score': 0.9465920686110233, 'MCC': 0.8363220455903373}
epoch: 40, lr: 6.45e-01 - train loss: 1.01e-01 - valid loss: 2.19e-01, valid summary: {'TP': 618178.0, 'TN': 278401.0, 'FP': 45520.0, 'FN': 23901.0, 'FAR': 0.14052809172606467, 'FRR': 0.03722439139108993, 'DER': 0.07742875976350018, 'threshold': 0.5, 'precision': 0.9314145891655402, 'recall': 0.9627756086088944, 'F-score': 0.946835485691661, 'MCC': 0.83716409021034}
epoch: 41, lr: 6.36e-01 - train loss: 1.00e-01 - valid loss: 2.23e-01, valid summary: {'TP': 611514.0, 'TN': 283814.0, 'FP': 40107.0, 'FN': 30565.0, 'FAR': 0.12381722703992258, 'FRR': 0.04760317655615512, 'DER': 0.07893420065048698, 'threshold': 0.5, 'precision': 0.9384504182645903, 'recall': 0.9523968234438293, 'F-score': 0.9453721882971322, 'MCC': 0.8348793510487876}
epoch: 42, lr: 6.27e-01 - train loss: 9.97e-02 - valid loss: 2.24e-01, valid summary: {'TP': 612168.0, 'TN': 283321.0, 'FP': 40600.0, 'FN': 29911.0, 'FAR': 0.12533920307728966, 'FRR': 0.04658461030496175, 'DER': 0.07874021903116533, 'threshold': 0.5, 'precision': 0.9378033236923234, 'recall': 0.9534153896950227, 'F-score': 0.9455449176620867, 'MCC': 0.8351636640781718}
